h,T,lambda,M,s
16960.3057,-67453072.89,0.0002549,1.850763949,-0.000888372
22989.91433,-109133198.1,0.0002548,1.858157978,-0.001594915
2460.946741,-52092422.08,7.00E-07,0.094592517,-0.000882222
20477.02714,-94385642.92,0.0002549,1.855000191,-0.001344857
12343.06984,-31983655.43,0.0002549,1.845144759,-0.000287196
11679.7773,-5964014.765,0.0002549,1.844311241,0.000153815
15351.78185,-99902646.76,0.0002535,1.841788618,-0.001439765
8833.900526,-54110505.74,0.0002527,1.828108007,-0.000664427
27618.93712,-37697645.81,0.000255,1.86452398,-0.000383943
17716.06723,-75622538.29,0.0002548,1.851713667,-0.001026938
21389.74194,-116164921.3,0.0002547,1.855964142,-0.001714197
20855.34437,-77968452.42,0.0002549,1.855841599,-0.001066599
22109.30721,-65737379.9,0.0002549,1.857417375,-0.000859293
29364.79104,-32757062.99,0.000255,1.866717885,-0.000300204
18062.84866,-108822865.6,0.0002547,1.851234445,-0.001589755
24750.41434,-33577235.18,0.000255,1.860919288,-0.000314106
1176.738658,-64203963.14,1.00E-07,0.044300733,-0.001088103
4810.532932,-1606316.771,2.55E-04,1.835496094,0.000227674
26528.70452,-45904303.75,0.000255,1.863153953,-0.000523039
18166.1638,-44296895.95,0.0002549,1.852462275,-0.000495895
2749.324456,-104322156.1,8.00E-07,0.088366903,-0.001767372
26227.45058,-62204377.12,0.0002549,1.862592386,-0.000799411
9680.41142,-29702890.59,0.0002549,1.841798764,-0.000248539
25930.22993,-58708042.22,0.0002549,1.862401888,-0.000740152
1434.59353,-76727786.34,4.00E-07,0.051578763,-0.001300071
520.6557425,-83774989.11,1.00E-07,0.020601275,-0.001419815
1299.074301,-61533144.63,4.00E-07,0.049212465,-0.001042535
17362.29369,-57380677.71,0.0002549,1.851269102,-0.000717654
11534.30065,-109779146,9.40E-06,0.35450843,-0.001851263
1730.225214,-62396577.26,4.00E-07,0.064943265,-0.001057169
4212.953993,-99475589.54,1.40E-06,0.135041154,-0.001684627
13441.58591,-103180612.4,0.000145,1.199986195,-0.001603824
5740.954275,-32943831.42,0.0002498,1.805189296,-0.00030857
29318.68866,-103867448.1,0.0002549,1.866293951,-0.001505565
28487.44609,-93337290.89,0.0002549,1.865432381,-0.001327088
7730.690869,-57737621.84,0.0001869,1.415337673,-0.000791704
1935.005299,-13192744.81,0.0001364,1.018447599,-8.72058E-05
6661.413828,-15477106.99,0.0002549,1.837821979,-7.42385E-06
29002.02558,-91088993.63,0.0002549,1.86607902,-0.001288981
18983.44138,-119382619.5,0.0002545,1.851659296,-0.001768934
