,h,T,M,Lambda_lhs,e
4103,28135.23259,-6300287.029,1.865172776,2.55E-04,1.48E-04
4104,9898.505284,-7088355.874,1.842072829,2.55E-04,1.35E-04
4105,14087.94726,-13402892.88,1.847337437,0.0002549,2.77E-05
4106,2679.213739,-14096288.51,1.609557799,2.22E-04,-1.69E-05
4107,2680.852888,-36613373.12,0.117011859,2.10E-06,-6.18E-04
4108,23260.07249,-38760498.68,1.858863469,2.55E-04,-4.02E-04
4109,28955.85378,-41042808.95,1.866203999,2.55E-04,-4.41E-04
4110,25867.96805,-40259694.01,1.862323647,2.55E-04,-4.27E-04
4111,905.7087066,-40879800.14,0.037738147,1.00E-07,-6.93E-04
4112,24867.74592,-30891427.85,1.861066731,2.55E-04,-2.69E-04
4113,17548.43565,-36044779.75,1.851686015,0.0002549,-3.56E-04
4114,25103.39062,-17332563.68,1.861362851,0.0002549,-3.89E-05
4115,15497.67803,-25651949.91,1.849108957,0.0002549,-1.80E-04
4116,20595.21841,-23516039.67,1.855514715,2.55E-04,-1.44E-04
4117,9924.77724,-29001528.69,1.842105843,2.55E-04,-2.37E-04
4118,27390.43298,-39079657.22,1.864236833,2.55E-04,-4.07E-04
4119,8215.296349,-15386492.11,1.839957646,2.55E-04,-5.79E-06
4120,30766.27237,-38843680.19,1.868296038,2.55E-04,-4.03E-04
4121,19666.48738,-26717290.72,1.854530637,0.0002549,-1.98E-04
4122,26139.09128,-38417278.61,1.862664351,2.55E-04,-3.96E-04
4123,5157.473479,-33856860.63,1.660252072,2.28E-04,-3.46E-04
4124,24024.64639,-20290649.46,1.859824261,2.55E-04,-8.89E-05
4125,14868.57542,-37297912.86,1.848318403,2.55E-04,-3.77E-04
4126,31408.11175,-38754679.63,1.869285597,2.55E-04,-4.02E-04
4127,9062.098623,-37552320.41,1.840655769,2.55E-04,-3.81E-04
4128,14604.20327,-10632921.28,1.848169183,0.0002549,7.47E-05
4129,14113.83482,-28768455.22,1.847369968,2.55E-04,-2.33E-04
4130,28416.448,-22029676.89,1.865526162,0.0002549,-1.18E-04
4131,9568.950344,-34488406.37,1.841475698,2.55E-04,-3.30E-04
4132,8669.502162,-15074487.59,1.840528418,2.55E-04,-5.00E-07
4133,10842.79074,-13028659.28,1.843259453,2.55E-04,3.42E-05
4134,15369.75944,-14141630.77,1.849131209,0.0002549,1.52E-05
4135,29108.48168,-1411893.93,1.866212797,2.55E-04,2.31E-04
4136,31316.05476,-18779276.85,1.869169915,2.55E-04,-6.33E-05
4137,23071.0605,-45965435.98,1.85862595,0.0002549,-5.24E-04
4138,25805.51423,-40172304.79,1.862245166,2.55E-04,-4.26E-04
4139,22703.70519,-8432699.628,1.858164317,0.0002549,1.12E-04
4140,2841.095855,-35707806.12,0.132036226,3.40E-06,-6.02E-04
4141,15477.43284,-36189420.09,1.849083516,2.55E-04,-3.58E-04
4142,26387.41164,-35475395.08,1.862793399,2.55E-04,-3.46E-04
4143,28645.74449,-30613355.73,1.865814304,0.0002549,-2.64E-04
4144,23355.71852,-36388063.35,1.858983661,2.55E-04,-3.62E-04
4145,12280.37398,-46625742.52,1.844882973,2.55E-04,-5.35E-04
4146,22935.06055,-21996870.55,1.858455047,2.55E-04,-1.18E-04
4147,20174.90871,-31839647.28,1.854986538,0.0002549,-2.85E-04
4148,924.8813388,-2435183.035,1.27209724,1.75E-04,1.34E-04
4149,21215.37858,-35847693.14,1.856294031,0.0002549,-3.53E-04
4150,3099.263879,-31358160,0.25094465,1.93E-05,-5.12E-04
4151,20926.20947,-19212001.33,1.85593065,2.55E-04,-7.06E-05
4152,27797.32854,-1886281.845,1.864748153,2.55E-04,2.23E-04
4153,21.35859013,-30794280.49,0.00295484,1.00E-07,-5.22E-04
4154,57.11338843,-2117489.076,0.306047771,4.22E-05,6.31E-06
4155,7590.260843,-34842401.88,1.838257203,2.55E-04,-3.36E-04
4156,6095.176253,-36712062.5,1.794471424,2.48E-04,-3.74E-04
4157,13164.12711,-6592761.097,1.84617653,0.0002549,1.43E-04
4158,30280.15747,-28478522.93,1.867868168,0.0002549,-2.28E-04
4159,3810.56947,-28295898.72,1.144146503,0.0001505,-3.29E-04
4160,31554.55469,-46889849.35,1.869469623,2.55E-04,-5.40E-04
4161,13069.3717,-1997254.367,1.846057457,0.0002549,2.21E-04
4162,16539.59945,-37511154.64,1.850418274,2.55E-04,-3.81E-04
4163,18694.62861,-25800181.59,1.853126363,0.0002549,-1.82E-04
4164,2794.408658,-795573.4889,1.830217557,2.55E-04,2.42E-04
4165,28968.70977,-24344490.1,1.866037154,0.0002549,-1.58E-04
4166,7317.165169,-34441763.26,1.837365021,2.55E-04,-3.29E-04
4167,26260.05945,-44406410.09,1.862816364,2.55E-04,-4.98E-04
4168,1010.944444,-6141916.32,0.86118739,0.0001162,1.21E-05
4169,4986.88677,-833169.5615,1.835900707,2.55E-04,2.41E-04
4170,24170.51944,-33773443.52,1.860007571,2.55E-04,-3.17E-04
4171,18041.73904,-10306710.39,1.852305918,2.55E-04,8.03E-05
4172,1308.570083,-18517918.87,0.118215398,9.00E-06,-3.05E-04
4173,15532.76806,-3156588.026,1.849336052,0.0002549,2.01E-04
4174,27328.93705,-29944705.89,1.863976555,2.55E-04,-2.53E-04
4175,25369.89059,-42471117.64,1.861697745,2.55E-04,-4.65E-04
4176,26581.31518,-42437851.55,1.863220066,2.55E-04,-4.64E-04
4177,14658.6443,-8857724.849,1.848054596,0.0002549,1.05E-04
4178,2144.81994,-517002.4312,1.81842126,2.53E-04,2.44E-04
4179,22132.98666,-21722992.36,1.857447131,2.55E-04,-1.13E-04
4180,16363.28685,-16860554.17,1.850196713,0.0002549,-3.09E-05
4181,21211.78177,-13858582.18,1.856289511,2.55E-04,2.01E-05
4182,17048.50671,-43980962.29,1.851057785,2.55E-04,-4.90E-04
4183,23828.1507,-7851975.791,1.859577337,0.0002549,1.22E-04
4184,2739.009874,-6808805.554,1.813128941,2.52E-04,1.37E-04
4185,30535.50452,-40345526.91,1.868006047,2.55E-04,-4.29E-04
4186,9221.295939,-16793747.26,1.841221822,2.55E-04,-2.96E-05
4187,31044.36189,-21692455.05,1.868645496,0.0002549,-1.13E-04
4188,17609.64705,-11476929.44,1.851945935,0.0002549,6.04E-05
4189,28639.4188,-10954728.1,1.865623355,2.55E-04,6.93E-05
4190,1324.278562,-2982203.322,1.568144138,2.17E-04,1.66E-04
4191,24028.48326,-10368124.05,1.859829083,0.0002549,7.92E-05
4192,24487.59208,-38636945.79,1.860406016,2.55E-04,-4.00E-04
4193,8645.267122,-39989119.49,1.839948963,2.55E-04,-4.23E-04
4194,26747.98373,-264646.3184,1.863246508,2.55E-04,2.51E-04
4195,14761.49936,-47234191.21,1.848000847,2.55E-04,-5.46E-04
4196,4851.940389,-11400207.44,1.835182128,2.55E-04,6.18E-05
4197,6872.428183,-5883432.016,1.838087148,2.55E-04,1.55E-04
4198,7206.005234,-20743487.06,1.838506333,2.55E-04,-9.66E-05
4199,8068.401025,-26128093.93,1.839590052,2.55E-04,-1.88E-04
4200,3799.012516,-47967234.99,0.15080798,2.30E-06,-8.11E-04
4201,20533.66074,-22647954.79,1.855437359,2.55E-04,-1.29E-04
4202,30259.52421,-21239923.25,1.86784224,0.0002549,-1.05E-04
4203,30909.31038,-34858178.97,1.868475785,0.0002549,-3.36E-04
4204,5389.606867,-32314069.84,1.77345478,2.45E-04,-3.03E-04
4205,10946.89832,-4064396.463,1.843390278,0.0002549,1.86E-04
4206,8114.933348,-9931539.616,1.839831526,2.55E-04,8.67E-05
4207,2673.568682,-12832688.7,1.675979705,2.32E-04,1.45E-05
4208,9938.113139,-1521849.043,1.842122601,0.0002549,2.29E-04
4209,18464.24499,-38577393.49,1.852836855,0.0002549,-3.99E-04
4210,27606.04008,-23981198.39,1.864324773,0.0002549,-1.52E-04
4211,6072.578309,-2961033.071,1.837265027,2.55E-04,2.05E-04
4212,12480.95022,-36601342.33,1.845318025,2.55E-04,-3.65E-04
4213,1979.554936,-45753601.44,0.078066582,4.00E-07,-7.75E-04
4214,24407.4127,-37336300.93,1.860305259,2.55E-04,-3.78E-04
4215,10440.41564,-23895851.29,1.842570813,2.55E-04,-1.50E-04
4216,26997.93542,-18338667.28,1.863743606,0.0002549,-5.59E-05
4217,14394.00714,-9163436.184,1.847905043,0.0002549,9.96E-05
4218,31268.79042,-44354062.31,1.868927521,2.55E-04,-4.97E-04
4219,27056.21568,-39385137.25,1.863816843,2.55E-04,-4.13E-04
4220,12287.701,-6732424.529,1.84525818,0.0002549,1.41E-04
4221,31099.62013,-44634947.53,1.868897935,2.55E-04,-5.02E-04
4222,5568.937175,-24149026.37,1.833521133,2.54E-04,-1.55E-04
4223,21049.1162,-23839297.26,1.8560851,2.55E-04,-1.49E-04
4224,12109.34343,-5150896.103,1.84485105,0.0002549,1.68E-04
4225,30057.12225,-33050778.55,1.867587894,0.0002549,-3.05E-04
4226,29504.77717,-45780935.36,1.866893796,2.55E-04,-5.21E-04
4227,15085.38455,-39216963.12,1.848407853,2.55E-04,-4.10E-04
4228,30148.6602,-8726829.782,1.867702924,2.55E-04,1.07E-04
4229,13202.68637,-9316761.825,1.846224985,0.0002549,9.70E-05
4230,6809.286692,-26442821.12,1.837824802,2.55E-04,-1.93E-04
4231,28445.40664,-7930610.973,1.865379552,2.55E-04,1.21E-04
4232,11928.79196,-8901630.281,1.844624162,0.0002549,1.04E-04
4233,13714.22305,-8791158.081,1.846867801,0.0002549,1.06E-04
4234,29043.26334,-16495957.69,1.866313841,0.0002549,-2.47E-05
4235,28379.95991,-27780775.89,1.865480309,0.0002549,-2.16E-04
4236,28619.23839,-1737806.319,1.865780996,2.55E-04,2.26E-04
4237,18249.20357,-27847406.62,1.852749626,0.0002549,-2.17E-04
4238,24307.04648,-10882405.18,1.860179135,0.0002549,7.05E-05
4239,16945.76342,-15162281.13,1.850928674,0.0002549,-2.09E-06
4240,8363.592273,-34290871.54,1.839778,2.55E-04,-3.26E-04
4241,19590.49777,-13272776.16,1.854252146,2.55E-04,3.00E-05
4242,27415.64711,-21050635.21,1.864085518,0.0002549,-1.02E-04
4243,22746.57211,-22810526.69,1.858218186,2.55E-04,-1.32E-04
