,T,B,M,lambda,s
336,-2880000.0,11487.0,1460000.0,0.0002549,0.00020608644067796611
337,-2880000.0,11806.0,1460000.0,0.0002549,0.00020608644067796611
338,-2880000.0,12125.0,1460000.0,0.0002549,0.00020608644067796611
339,-2880000.0,12444.0,1460000.0,0.0002549,0.00020608644067796611
340,-2880000.0,12763.0,1460000.0,0.0002549,0.00020608644067796611
341,-2880000.0,13082.0,1460000.0,0.0002549,0.00020608644067796611
342,-2880000.0,13401.0,1460000.0,0.0002549,0.00020608644067796611
343,-2880000.0,13720.0,1460000.0,0.0002549,0.00020608644067796611
344,-2880000.0,14040.0,1460000.0,0.0002549,0.00020608644067796611
345,-2880000.0,14359.0,1460000.0,0.0002549,0.00020608644067796611
346,-2880000.0,14678.0,1460000.0,0.0002549,0.00020608644067796611
347,-2880000.0,14997.0,1460000.0,0.0002549,0.00020608644067796611
348,-2880000.0,15316.0,1460000.0,0.0002549,0.00020608644067796611
349,-2880000.0,15635.0,1460000.0,0.0002549,0.00020608644067796611
350,-2880000.0,15954.0,1460000.0,0.0002549,0.00020608644067796611
351,-2880000.0,16273.0,1460000.0,0.0002549,0.00020608644067796611
352,-2880000.0,16592.0,1460000.0,0.0002549,0.00020608644067796611
353,-2880000.0,16911.0,1460000.0,0.0002549,0.00020608644067796611
354,-2880000.0,17230.0,1460000.0,0.0002549,0.00020608644067796611
355,-2880000.0,17549.0,1460000.0,0.0002549,0.00020608644067796611
356,-2880000.0,17868.0,1460000.0,0.000255,0.00020618644067796612
357,-2880000.0,18188.0,1460000.0,0.000255,0.00020618644067796612
358,-2880000.0,18507.0,1460000.0,0.0002549,0.00020608644067796611
359,-2880000.0,18826.0,1460000.0,0.0002549,0.00020608644067796611
360,-2880000.0,19145.0,1460000.0,0.0002549,0.00020608644067796611
361,-2880000.0,19464.0,1460000.0,0.0002549,0.00020608644067796611
362,-2880000.0,19783.0,1460000.0,0.0002549,0.00020608644067796611
363,-2880000.0,20102.0,1460000.0,0.0002549,0.00020608644067796611
364,-2880000.0,20421.0,1460000.0,0.0002549,0.00020608644067796611
365,-2880000.0,20740.0,1460000.0,0.0002549,0.00020608644067796611
366,-2880000.0,21059.0,1460000.0,0.0002549,0.00020608644067796611
367,-2880000.0,21378.0,1460000.0,0.0002549,0.00020608644067796611
368,-2880000.0,21697.0,1460000.0,0.0002549,0.00020608644067796611
369,-2880000.0,22017.0,1460000.0,0.0002549,0.00020608644067796611
370,-2880000.0,22336.0,1460000.0,0.0002549,0.00020608644067796611
371,-2880000.0,22655.0,1460000.0,0.0002549,0.00020608644067796611
372,-2880000.0,22974.0,1460000.0,0.0002549,0.00020608644067796611
373,-2880000.0,23293.0,1460000.0,0.0002549,0.00020608644067796611
374,-2880000.0,23612.0,1460000.0,0.0002549,0.00020608644067796611
375,-2880000.0,23931.0,1460000.0,0.0002549,0.00020608644067796611
376,-2880000.0,24250.0,1460000.0,0.0002549,0.00020608644067796611
377,-2880000.0,24569.0,1460000.0,0.0002549,0.00020608644067796611
378,-2880000.0,24888.0,1460000.0,0.0002549,0.00020608644067796611
379,-2880000.0,25207.0,1460000.0,0.0002549,0.00020608644067796611
380,-2880000.0,25526.0,1460000.0,0.0002549,0.00020608644067796611
381,-2880000.0,25845.0,1460000.0,0.0002549,0.00020608644067796611
382,-2880000.0,26165.0,1460000.0,0.0002549,0.00020608644067796611
383,-2880000.0,26484.0,1460000.0,0.000255,0.00020618644067796612
384,-2880000.0,26803.0,1460000.0,0.000255,0.00020618644067796612
385,-2880000.0,27122.0,1460000.0,0.000255,0.00020618644067796612
386,-2880000.0,27441.0,1460000.0,0.000255,0.00020618644067796612
387,-2880000.0,27760.0,1460000.0,0.000255,0.00020618644067796612
388,-2880000.0,28079.0,1460000.0,0.000255,0.00020618644067796612
389,-2880000.0,28398.0,1460000.0,0.0002549,0.00020608644067796611
390,-2880000.0,28717.0,1460000.0,0.0002549,0.00020608644067796611
391,-2880000.0,29036.0,1460000.0,0.0002549,0.00020608644067796611
392,-2880000.0,29355.0,1460000.0,0.0002549,0.00020608644067796611
393,-2880000.0,29674.0,1460000.0,0.0002549,0.00020608644067796611
394,-2880000.0,29994.0,1460000.0,0.0002549,0.00020608644067796611
395,-2880000.0,30313.0,1460000.0,0.0002549,0.00020608644067796611
396,-2880000.0,30632.0,1460000.0,0.0002549,0.00020608644067796611
397,-2880000.0,30951.0,1460000.0,0.0002549,0.00020608644067796611
398,-2880000.0,31270.0,1460000.0,0.0002549,0.00020608644067796611
399,-2880000.0,31589.0,1460000.0,0.000255,0.00020618644067796612
400,-3840000.0,0.0,96259.0,1.67e-05,-4.838474576271187e-05
401,-3840000.0,319.08,230000.0,3.84e-05,-2.668474576271187e-05
402,-3840000.0,638.16,466000.0,7.86e-05,1.3515254237288132e-05
403,-3840000.0,957.24,784000.0,0.0001343,6.921525423728814e-05
404,-3840000.0,1276.3,1080000.0,0.0001872,0.00012211525423728813
405,-3840000.0,1595.4,1280000.0,0.0002221,0.00015701525423728814
406,-3840000.0,1914.5,1380000.0,0.0002403,0.00017521525423728815
407,-3840000.0,2233.6,1420000.0,0.0002487,0.0001836152542372881
408,-3840000.0,2552.6,1440000.0,0.0002523,0.00018721525423728814
409,-3840000.0,2871.7,1450000.0,0.0002537,0.00018861525423728812
410,-3840000.0,3190.8,1450000.0,0.0002544,0.00018931525423728814
